28UGD;EPSG:32628;WGS 84 / UTM zone 28N;-12.0053590772 53.2119928714 -10.4689678292 52.1754847187
28VCR;EPSG:32628;WGS 84 / UTM zone 28N;-19.0866569718 63.9696051249 -16.7827894253 63.0305153986
28VDR;EPSG:32628;WGS 84 / UTM zone 28N;-17.0464984767 64.0127397098 -14.8070398381 63.0416105185
28WDS;EPSG:32628;WGS 84 / UTM zone 28N;-17.114567597 64.909134773 -14.8008943953 63.9387125823
28WDT;EPSG:32628;WGS 84 / UTM zone 28N;-17.1879174559 65.8059182 -14.7942885111 64.836240762
28WDU;EPSG:32628;WGS 84 / UTM zone 28N;-17.267110978 66.7025500887 -14.7871753062 65.7336593115
28WES;EPSG:32628;WGS 84 / UTM zone 28N;-15.0004229192 64.9241383963 -12.7614915376 63.921560405
28WET;EPSG:32628;WGS 84 / UTM zone 28N;-15.0004376034 65.8215523859 -12.6873014933 64.8183885899
28WEU;EPSG:32628;WGS 84 / UTM zone 28N;-15.0004534591 66.7188603284 -12.607422394 65.7150589699
29SMA;EPSG:32629;WGS 84 / UTM zone 29N;-10.1249352626 37.0412497841 -8.89163154255 36.0566749851
29SMB;EPSG:32629;WGS 84 / UTM zone 29N;-10.1385290788 37.9420809161 -8.89036811333 36.9578304876
29SMC;EPSG:32629;WGS 84 / UTM zone 29N;-10.1527513507 38.843310058 -8.88904641936 37.8593896848
29SMD;EPSG:32629;WGS 84 / UTM zone 29N;-10.1676247275 39.7443952014 -8.88766443793 38.7608104753
29SNA;EPSG:32629;WGS 84 / UTM zone 29N;-9.00022491683 37.0465830501 -7.78119997991 36.0505282155
29SNB;EPSG:32629;WGS 84 / UTM zone 29N;-9.00022763545 37.9475895716 -7.76699475178 36.9514794714
29SNC;EPSG:32629;WGS 84 / UTM zone 29N;-9.00023047979 38.8489984834 -7.75213459128 37.8528295029
29SND;EPSG:32629;WGS 84 / UTM zone 29N;-9.00023345438 39.7502679266 -7.73659678081 38.7540360478
29SPA;EPSG:32629;WGS 84 / UTM zone 29N;-7.87551445266 37.0412540476 -6.67138577053 36.0341050484
29SPB;EPSG:32629;WGS 84 / UTM zone 29N;-7.86192606807 37.9420853198 -6.64426763055 36.9345107528
29SPC;EPSG:32629;WGS 84 / UTM zone 29N;-7.84770947867 38.8433146054 -6.61590002867 37.8353021099
29SPD;EPSG:32629;WGS 84 / UTM zone 29N;-7.83284204447 39.7443998961 -6.58623972135 38.7359364307
29SQA;EPSG:32629;WGS 84 / UTM zone 29N;-6.75206945698 37.0252843026 -5.56341398034 36.0074510115
29SQB;EPSG:32629;WGS 84 / UTM zone 29N;-6.72492653925 37.9255905472 -5.52344565575 36.9069718127
29SQC;EPSG:32629;WGS 84 / UTM zone 29N;-6.6965295969 38.8262817083 -5.48163776 37.8068570322
29SQD;EPSG:32629;WGS 84 / UTM zone 29N;-6.66683353201 39.7268153311 -5.43792685626 38.7065632945
29SQV;EPSG:32629;WGS 84 / UTM zone 29N;-6.77804771184 36.124284255 -5.60167165208 35.1072181616
29TME;EPSG:32629;WGS 84 / UTM zone 29N;-10.1831726066 40.6447948038 -8.88622008547 39.661551227
29TMG;EPSG:32629;WGS 84 / UTM zone 29N;-10.216483315 42.4462357017 -8.88312689683 41.4636925165
29TMH;EPSG:32629;WGS 84 / UTM zone 29N;-10.2343055502 43.3461946848 -8.88147277913 42.3640106559
29TMJ;EPSG:32629;WGS 84 / UTM zone 29N;-10.2529817457 44.246545441 -8.87974009974 43.2647271634
29TNE;EPSG:32629;WGS 84 / UTM zone 29N;-9.00023656389 40.6508565153 -7.72035792137 39.6545573065
29TNF;EPSG:32629;WGS 84 / UTM zone 29N;-9.00023981916 41.5518446696 -7.70336265384 40.5554731408
29TNG;EPSG:32629;WGS 84 / UTM zone 29N;-9.00024322602 42.4526911987 -7.68558188066 41.4562418971
29TNH;EPSG:32629;WGS 84 / UTM zone 29N;-9.00024679053 43.3528553919 -7.6669853912 42.3563223896
29TNJ;EPSG:32629;WGS 84 / UTM zone 29N;-9.00025052588 44.2534175806 -7.64750596752 43.2567942937
29TPE;EPSG:32629;WGS 84 / UTM zone 29N;-7.81730037734 40.6447996495 -6.55524217786 39.63587147
29TPF;EPSG:32629;WGS 84 / UTM zone 29N;-7.80103038521 41.5455937685 -6.5228018784 40.536185528
29TPG;EPSG:32629;WGS 84 / UTM zone 29N;-7.78400297733 42.4462408622 -6.48886345312 41.4363363796
29TPH;EPSG:32629;WGS 84 / UTM zone 29N;-7.76618786224 43.3462000094 -6.45336942771 42.3357822388
29TPJ;EPSG:32629;WGS 84 / UTM zone 29N;-7.74751912778 44.2465509345 -6.41619172043 43.2356009597
29TQE;EPSG:32629;WGS 84 / UTM zone 29N;-6.6357917663 40.6266494069 -5.39224764302 39.6055476375
29TQF;EPSG:32629;WGS 84 / UTM zone 29N;-6.60329641415 41.526862291 -5.3444449856 40.5048858361
